ID,HOUSE_NUMBER,PRE_DIR,STREET_NAME,STREET_TYPE,FULL_ADDRESS_RANGE,BUILDING_NAME1,BUILDING_NAME2,MONTH_VIEW,TOTAL_ROOF_SQFT,VEGETATED_SQFT,FACT_SHEET,LATITUDE,LONGITUDE,LOCATION
156,1544,N,DEARBORN,PKWY,1544-1558 N DEARBORN PKWY, , ,August 2010,14959,5170,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_156.pdf,41.91096131,-87.63049144,"(41.91096131, -87.63049144)"
286,1520,W,NORTH,AVE,1520-1520 W NORTH AVE, , ,August 2010,23899,12047,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_286.pdf,41.91122989,-87.6663161,"(41.91122989, -87.66631610)"
155,1639,N,LASALLE,ST,1639-1639 N LASALLE ST, , ,August 2010,13991,8162,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_155.pdf,41.91231433,-87.63275444,"(41.91231433, -87.63275444)"
323,1715,N,DAMEN,AVE,1715-1715 N DAMEN AVE, , ,August 2010,4159,956,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_323.pdf,41.91286175,-87.67710425,"(41.91286175, -87.67710425)"
085,1842,N,KINGSBURY,ST,1842-1842 N KINGSBURY ST, , ,August 2010,22533,8234,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_085.pdf,41.91548279,-87.65822183,"(41.91548279, -87.65822183)"
161,1875,N,ORCHARD,ST,1875-1875 N ORCHARD ST, , ,August 2010,5851,4046,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_161.pdf,41.91594047,-87.64563306,"(41.91594047, -87.64563306)"
093,2100,N,ELSTON,AVE,2100-2100 N ELSTON AVE, , ,August 2010,46396,26569,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_093.pdf,41.91909131,-87.66949337,"(41.91909131, -87.66949337)"
133,2101,N,LINCOLN PARK, ,2101-2101 N LINCOLN PARK, , ,August 2010,23185,11893,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_133.pdf,41.92017766,-87.63204011,"(41.92017766, -87.63204011)"
094,2140,N,ELSTON,AVE,2140-2140 N ELSTON AVE, , ,August 2010,140234,40632,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_094.pdf,41.9204494,-87.67181989,"(41.92044940, -87.67181989)"
007,0, ,LINCOLN PARK ZOO #2, ,0-0   LINCOLN PARK ZOO #2, , ,August 2010,1693,1453,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_007.pdf,41.92098553,-87.63536765,"(41.92098553, -87.63536765)"
314,0, ,LINCOLN PARK ZOO #1, ,0-0   LINCOLN PARK ZOO #1, , ,August 2010,9220,3516,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_314.pdf,41.92114142,-87.63482948,"(41.92114142, -87.63482948)"
092,2230,N,DOMINICK,ST,2230-2230 N DOMINICK ST, , ,August 2010,22053,6153,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_092.pdf,41.92216303,-87.66728622,"(41.92216303, -87.66728622)"
086,1110,W,BELDEN,AVE,1110-1110 W BELDEN AVE,DE PAUL UNIVERSITY, ,August 2010,30445,1186,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_086.pdf,41.92374513,-87.65673471,"(41.92374513, -87.65673471)"
091,1237,W,FULLERTON,AVE,1237-1237 W FULLERTON AVE, , ,August 2010,44190,13140,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_091.pdf,41.92494696,-87.65997776,"(41.92494696, -87.65997776)"
134,2344,N,LINCOLN PARK, ,2344-2344 N LINCOLN PARK, , ,August 2010,5865,2814,https://gisapps.cityofchicago.org/gisimages/Greenroofs/VR_134.pdf,41.92517996,-87.63693144,"(41.92517996, -87.63693144)"
